楽曲名,作曲者,概要
迷走するサラバンド,1,平成22年度「Ⅰ」
オーディナリー・マーチ,2,平成22年度「Ⅱ」
吹奏楽のための民謡「うちなーのてぃだ」,3,平成22年度「Ⅲ」
汐風のマーチ,4,平成22年度「Ⅳ」
吹奏楽のためのスケルツォ 第２番≪夏≫,5,平成22年度「Ⅴ」
マーチ「ライヴリー アヴェニュー」,6,平成23年度「Ⅰ」
天国の島,7,平成23年度「Ⅱ」
シャコンヌＳ,8,平成23年度「Ⅲ」
南風のマーチ,9,平成23年度「Ⅳ」
「薔薇戦争」より　戦場にて,10,平成23年度「Ⅴ」
さくらのうた,11,平成24年度「Ⅰ」
行進曲「よろこびへ歩きだせ」,12,平成24年度「Ⅱ」
吹奏楽のための綺想曲「じゅげむ」,13,平成24年度「Ⅲ」
行進曲「希望の空」,14,平成24年度「Ⅳ」
香り立つ刹那,15,平成24年度「Ⅴ」
勇者のマズルカ,16,平成25年度「Ⅰ」
祝典行進曲「ライジング・サン」,17,平成25年度「Ⅱ」
復興への序曲「夢の明日に」,18,平成25年度「Ⅲ」
エンターテインメント・マーチ,19,平成25年度「Ⅳ」
流沙,1,平成25年度「Ⅴ」
最果ての城のゼビア,20,平成26年度「Ⅰ」
行進曲「勇気のトビラ」,2,平成26年度「Ⅱ」
「斎太郎節」の主題による幻想,21,平成26年度「Ⅲ」
コンサートマーチ「青葉の街で」,22,平成26年度「Ⅳ」
きみは林檎の樹を植える,23,平成26年度「Ⅴ」
天空の旅 －吹奏楽のための譚詩－,24,平成27年度「Ⅰ」
マーチ「春の道を歩こう」,25,平成27年度「Ⅱ」
秘儀III －旋回舞踊のためのヘテロフォニー,26,平成27年度「Ⅲ」
マーチ「プロヴァンスの風」,27,平成27年度「Ⅳ」
暁闇の宴,28,平成27年度「Ⅴ」
マーチ・スカイブルー・ドリーム,29,平成28年度「Ⅰ」
スペインの市場で,30,平成28年度「Ⅱ」
ある英雄の記憶,31,平成28年度「Ⅲ」
マーチ「クローバーグラウンド」,32,平成28年度「Ⅳ」
焔,33,平成28年度「Ⅴ」
スケルツァンド,34,平成29年度「Ⅰ」
マーチ・シャイニング・ロード,35,平成29年度「Ⅱ」
インテルメッツォ,36,平成29年度「Ⅲ」
マーチ「春風の通り道」,37,平成29年度「Ⅳ」
メタモルフォーゼ～吹奏楽のために～,38,平成29年度「Ⅴ」
古き森の戦記,39,平成30年度「Ⅰ」
マーチ・ワンダフル・ヴォヤージュ,40,平成30年度「Ⅱ」
吹奏楽のための「ワルツ」,41,平成30年度「Ⅲ」
コンサート・マーチ「虹色の未来へ」,42,平成30年度「Ⅳ」
エレウシスの祭儀,43,平成30年度「Ⅴ」
「あんたがたどこさ」の主題による幻想曲,44,平成31年度「Ⅰ」
マーチ「エイプリル・リーフ」,45,平成31年度「Ⅱ」
行進曲「春」,46,平成31年度「Ⅲ」
行進曲「道標の先に」,47,平成31年度「Ⅳ」
ビスマス・サイケデリアＩ,48,平成31年度「Ⅴ」
ディオニソスの祭,49,高度な演奏テクニック
アルメニアン・ダンス・パートI,50,
宇宙の音楽,51,
ブリュッセル・レクイエム,52,
オセロ,50,
プラハのための音楽1968,53,
朝鮮民謡の主題による変奏曲,54,
アルメニアン・ダンス・パートII,50,
華麗なる舞曲,55,
交響曲第3番,56,
シンフォニア・ノビリッシマ,57,
交響的断章,58,
ルイ・ブルジョアの讃美歌による変奏曲,55,
吹奏楽のための交響曲,57,
フェスティヴァル・ヴァリエーション,55,
ドラゴンの年,51,
二つの交響的断章,58,
ハリソンの夢,59,
呪文と踊り,54,
交響曲《メキシコの祭り》,76,
アルセナール,60,
行進曲『威風堂々』第１番,61,
フロレンティーナ・マーチ,62,
ラデツキー行進曲,63,
ワシントン・ポスト,64,
コンサート・マーチ『ブルー・インパルス』,65,
エル・キャピタン,64,
雷神,64,
美中の美,64,
双頭の鷲の旗の下に,66,
旧友,67,
バレエ組曲「青銅の騎士」より,68,
バレエ音楽「くるみ割り人形」より,69,
バレエ音楽「眠れる森の美女」,69,
組曲「ロメオとジュリエット」,70,
歌劇「イーゴリ公」より,71,
組曲『惑星』より「木星」,72,
祝典序曲,73,
大序曲『1812年』,69,
魔弾の射手,74,
パガニーニの主題による狂詩曲,75,
プスタ〜4つのジプシー舞曲,60,
交響詩「スパルタクス」,60,
カンタベリー・コラール,60,
交響詩「モンタニャールの詩」,60,
シンフォニア・フンガリカ ,60,
アントワープ賛歌,60,
マゼランの未知なる大陸への挑戦,77,
マードックからの最後の手紙,77,
斐伊川に流るるクシナダ姫の涙,77,
絵のない絵本,77,
民衆を導く自由の女神,77,
ロンドンデリー変奏曲,77,
イーストコーストの風景,78,
シェイクスピア・ピクチャーズ,78,
組曲「リンカンシャーの花束」 ,79,
戦士たち 〜想像上のバレエ音楽,79,
デリー地方のアイルランド民謡 ,79,
